 "topic" , "tname" ,
 "http://dbpedia.org/resource/Denver" , "Denver" ,
 "http://dbpedia.org/resource/WordPress.com" , "Wordpress.com" ,
 "http://dbpedia.org/resource/Pareto_efficiency" , "PE" ,
 "http://dbpedia.org/resource/Uniform_Resource_Identifier" , "URI" ,
 "http://dbpedia.org/resource/Google_News" , "Google News" ,
 "http://dbpedia.org/resource/Harry_Potter" , "Harry Potter" ,
 "http://dbpedia.org/resource/English_language" , "English" ,
 "http://dbpedia.org/resource/The_Next_Web" , "The Next Web" ,
 "http://dbpedia.org/resource/WhatsApp" , "WhatsApp" ,
 "http://dbpedia.org/resource/Claude_Monet" , "Monet" ,
 "http://dbpedia.org/resource/Dieter_Fensel" , "Dieter Fensel" ,
 "http://dbpedia.org/resource/Main_Page" , "Concordia University" ,
 "http://dbpedia.org/resource/Value-added_tax" , "GST" ,
 "http://dbpedia.org/resource/K-nearest_neighbors_algorithm" , "kNN" ,
 "http://dbpedia.org/resource/Refinitiv" , "Refinitiv" ,
 "http://dbpedia.org/resource/Stuart_J._Russell" , "Stuart Russell" ,
 "http://dbpedia.org/resource/Comet_Man" , "Max" ,
 "http://dbpedia.org/resource/Graphiq" , "GraphIQ" ,
 "http://dbpedia.org/resource/HarperCollins" , "Harper Collins" ,
 "http://dbpedia.org/resource/Matplotlib" , "Matplotlib" ,
 "http://dbpedia.org/resource/Flickr" , "Flickr" ,
 "http://dbpedia.org/resource/Resident_Evil" , "Resident Evil" ,
 "http://dbpedia.org/resource/UIMA" , "UIMA" ,
 "http://dbpedia.org/resource/Wikipedia" , "Wikipedia" ,
 "http://dbpedia.org/resource/7.30" , "7.3" ,
 "http://dbpedia.org/resource/United_Kingdom" , "British" ,
 "http://dbpedia.org/resource/Amsterdam" , "Amsterdam" ,
 "http://dbpedia.org/resource/Lexical_analysis" , "Tokenization" ,
 "http://dbpedia.org/resource/McGill_University" , "McGill University" ,
 "http://dbpedia.org/resource/Integral_transform" , "kernel" ,
 "http://dbpedia.org/resource/British_English" , "UK" ,
 "http://dbpedia.org/resource/Application_programming_interface" , "API" ,
 "http://dbpedia.org/resource/United_States_Congress" , "Congress" ,
 "http://dbpedia.org/resource/Enron" , "Enron" ,
 "http://dbpedia.org/resource/Oracle_Spatial_and_Graph" , "Oracle Spatial" ,
 "http://dbpedia.org/resource/Recommender_system" , "Recommender Systems" ,
 "http://dbpedia.org/resource/X86" , "DL" ,
 "http://dbpedia.org/resource/5:15" , "5.15" ,
 "http://dbpedia.org/resource/Metadata" , "metadata" ,
 "http://dbpedia.org/resource/James_Pustejovsky" , "James Pustejovsky" ,
 "http://dbpedia.org/resource/Canon_EOS" , "EOS" ,
 "http://dbpedia.org/resource/Text_mining" , "Text Mining" ,
 "http://dbpedia.org/resource/Louis_Pasteur" , "Louis Pasteur" ,
 "http://dbpedia.org/resource/GeoNames" , "GeoNames" ,
 "http://dbpedia.org/resource/Paris" , "Paris" ,
