CourseId,Subject,Number,Title,Class Units,Description,Topic,seeAlso,Outline
40353,COMP,6721,APPLIED ARTIFICIAL INTELLIGENCE,4,Please see GRAD Calendar,Artificial_intelligence,https://aits.encs.concordia.ca/aits/public/top/courses/20194/05/COMP6721.html,/University/COMP6721/outline.pdf
40355,COMP,6741,INTELLIGENT SYSTEMS,4,Please see GRAD Calendar,Intelligent_Systems,https://aits.encs.concordia.ca/aits/public/top/courses/20194/05/COMP6741.html,/University/COMP6741/outline.pdf
6145,COMS,583,INTERNSHIP IN COMMUNIC STUD,3,Please see GRAD Calendar,,http://comsopps.concordia.ca/,
9941,ENGR,202,Sustainable Development and Environmental Stewardship,1.5,"Introduction to the concept of sustainable development and the approaches for achieving it. Relationships with economic, social, and technological development. Methods for evaluating sustainability of engineering projects, including utilization of relevant databases and software. Impact of engineering design and industrial development on the environment. Case studies. Lectures: one and a half hours per week.





",,http://concordiaecsga.ca/,
1906,ARTE,890,THESIS,63,Please see GRAD Calendar,,http://cujah.org/,
40631,ENGR,108,Engineering Industrial Experience Reflective Learning I,3,"This course is a reflective learning module for students in their related field which is based on their academic requirements and their first industrial experience.
Prerequisite: Permission of the Faculty.




",,http://ieee.concordia.ca/,
40632,ENGR,208,Engineering Industrial Experience Reflective Learning II,3,"This course expands on the students' second industrial experience term in their related field of study to further develop their knowledge and work-related skills.
Prerequisite: ENGR 108 and permission of the Faculty.




",,http://serc.encs.concordia.ca/,
11438,FMPR,448,Independent Study I,3,"This course offers a limited number of students the opportunity to pursue advanced research under the supervision of a full-time Cinema faculty member. A written agreement between the student and the supervisor shall clearly state the nature of the student?s research, the scope of the project, and the work schedule. The study workload should be equivalent to a three-credit course in the program. Independent study may not duplicate curriculum offerings.
Prerequisite: 24 credits completed in Film Production; written permission of the Department. A minimum cumulative GPA of 3.5 is required.




",,http://synoptique.hybrid.concordia.ca/index.php/main,
40633,ENGR,308,Engineering Industrial Experience Reflective Learning III,3,"This course further expands on the students' third industrial experience in their related field of study to further develop their knowledge and work-related skills.
Prerequisite: ENGR 208 and permission of the Faculty.




",,http://wie.ecaconcordia.ca/,
42039,MTHY,699,THESIS,21,"Prerequisite: CATS 691 and MTHY 693.
The thesis topic is chosen in consultation with the thesis supervisor, and is approved by
the thesis advisory committee. Students conduct an inquiry, produce the thesis, and
present it orally to their thesis advisory committee. Guidelines for the thesis are described
in Thesis Preparation and Thesis Examination Regulations available from the School of
Graduate Studies and the Research Handbook of the Creative Arts Therapies
Department.",,http://www.arthives.org/,
48110,MBA,651,MBA Research Paper,6,Please see Graduate Calendar,,http://www.concordia.ca/academics/graduate/calendar/current/jmsb/mba.html,
